0:00 - Alexander Hamilton
0:49 - Alexander Hamilton > Hurricane
2:45 - Alexander Hamilton > Hurricane > Wait for It
5:59 - Alexander Hamilton > Hurricane
5:59 - Alexander Hamilton > Hurricane > Wait for It
9:13 - Alexander Hamilton > Hurricane
9:13 - Alexander Hamilton > Hurricane > Wait for It
12:26 - Alexander Hamilton > Hurricane
12:28 - Alexander Hamilton > Hurricane > Wait for It
15:42 - Alexander Hamilton > Hurricane
15:42 - Alexander Hamilton > Hurricane > Wait for It
18:55 - Alexander Hamilton > Hurricane
18:55 - Alexander Hamilton > Hurricane > Wait for It
22:09 - Alexander Hamilton > Hurricane
22:13 - Alexander Hamilton > Hurricane > Wait for It
25:27 - Alexander Hamilton > Hurricane
25:27 - Alexander Hamilton > Hurricane > Wait for It
28:41 - Alexander Hamilton > Hurricane
28:41 - Alexander Hamilton > Hurricane > History Has Its Eyes on You
29:42 - Alexander Hamilton > Hurricane > History Has Its Eyes on You > Who Lives, Who Dies, Who Tells Your Story
33:19 - Alexander Hamilton > Hurricane > History Has Its Eyes on You
33:51 - Alexander Hamilton > Hurricane
33:51 - Alexander Hamilton > Hurricane > Wait for It
37:05 - Alexander Hamilton > Hurricane
37:16 - Alexander Hamilton > Hurricane > Wait for It
40:29 - Alexander Hamilton > Hurricane
40:29 - Alexander Hamilton > Hurricane > Wait for It
43:43 - Alexander Hamilton > Hurricane
43:43 - Alexander Hamilton > Hurricane > Wait for It
46:57 - Alexander Hamilton > Hurricane
46:58 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet
48:23 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
49:14 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
53:23 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
55:13 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
59:23 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
59:26 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:03:35 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:03:38 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:07:48 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:10:27 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet
1:10:27 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:11:18 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:15:28 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:17:17 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:21:27 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:21:30 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:25:40 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:25:42 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
1:29:52 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
1:32:31 - Alexander Hamilton > Hurricane > The Reynolds Pamphlet
1:33:11 - Alexander Hamilton > Hurricane
1:33:11 - Alexander Hamilton
1:36:18 - Aaron Burr, Sir
1:36:37 - Aaron Burr, Sir > Alexander Hamilton
1:37:27 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:39:23 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:42:37 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:42:37 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:45:51 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:45:51 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:49:04 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:49:06 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:52:20 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:52:20 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:55:33 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:55:33 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
1:58:47 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
1:58:51 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:02:05 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:02:05 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:05:19 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:05:19 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
2:06:20 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You > Who Lives, Who Dies, Who Tells Your Story
2:09:57 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > History Has Its Eyes on You
2:10:29 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:10:29 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:13:43 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:13:53 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:17:07 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:17:07 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:20:21 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:20:21 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > Wait for It
2:23:35 - Aaron Burr, Sir > Alexander Hamilton > Hurricane
2:23:36 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet
2:25:01 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
2:25:52 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
2:30:01 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
2:31:51 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
2:36:01 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
2:36:03 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
2:40:13 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied
2:40:16 - Aaron Burr, Sir > Alexander Hamilton > Hurricane > The Reynolds Pamphlet > Satisfied > Helpless
